article_name,country,revision_id,population,article_quality
Daniel Kidega,Uganda,753278613,44.1,Start
Eng Abner Nangwale,Uganda,756457100,44.1,Stub
Yowabu Magada Kawaluuko,Uganda,757388522,44.1,Start
Grace Kwiyucwiny,Uganda,757563021,44.1,Start
Mary Goretti Kitutu,Uganda,757615490,44.1,Start
Rukiya Chekamondo,Uganda,757616921,44.1,Start
Sezi Mbaguta,Uganda,757617202,44.1,Start
Frederick Ngobi Gume,Uganda,758395750,44.1,Stub
Rosemary Seninde,Uganda,758567928,44.1,Start
Gerald Ssendaula,Uganda,759366517,44.1,C
Juma Oris,Uganda,759378614,44.1,Stub
Godfrey Kiwanda,Uganda,759877869,44.1,Stub
Geoffrey Onegi Obel,Uganda,760056661,44.1,Start
Tom Butime,Uganda,760181848,44.1,Start
Dennis Galabuzi Ssozi,Uganda,760184747,44.1,Start
Ken Lukyamuzi,Uganda,763247419,44.1,Stub
Victoria Sekitoleko,Uganda,766481345,44.1,C
Emmanuel Otala,Uganda,766665157,44.1,Start
Kabakumba Masiko,Uganda,770316807,44.1,C
Innocent Oula,Uganda,771724283,44.1,Start
Isaac Mulindwa,Uganda,773245217,44.1,Start
Hope Mwesigye,Uganda,773870932,44.1,Start
Katikkiro of Buganda,Uganda,774683767,44.1,Stub
Daudi Cwa II of Buganda,Uganda,774683907,44.1,Start
Ssuuna II of Buganda,Uganda,774684052,44.1,Start
Kamaanya of Buganda,Uganda,774684080,44.1,Start
Semakookiro of Buganda,Uganda,774684109,44.1,Start
Jjunju of Buganda,Uganda,774684124,44.1,Start
Kato Kintu,Uganda,774684195,44.1,Stub
Chwa I of Buganda,Uganda,774684228,44.1,Start
Kyabaggu of Buganda,Uganda,774830237,44.1,Start
Kiweewa of Buganda,Uganda,774831268,44.1,Start
Ismael Orot,Uganda,775522497,44.1,Stub
James Obita,Uganda,775995921,44.1,Stub
Janat Mukwaya,Uganda,776107670,44.1,Start
Besueri Kiwanuka Lusse Mulondo,Uganda,776344991,44.1,Start
Jeremiah Twa-Twa,Uganda,776491782,44.1,Start
Joyce Kakuramatsi Kikafunda,Uganda,777643576,44.1,Stub
Kania Obiga,Uganda,778265355,44.1,Stub
Apollo Kironde,Uganda,778598971,44.1,Stub
Kibirige Mayanja,Uganda,778840186,44.1,Start
Kintu Musoke,Uganda,779007768,44.1,Start
Jessica Alupo,Uganda,779397351,44.1,Start
